web-scraper-order,web-scraper-start-url,authors,title,conference,citations,year
"1665548406-4386","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","H Buhrman, R Cleve, J Watrous, R de Wolf","Quantum fingerprinting","Physical Review Letters 87 (16), 167902, 2001","1013","2001"
"1665548406-4387","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","The Theory of Quantum Information","https://cs.uwaterloo.ca/~watrous/TQI/, 2018","1006","2018"
"1665548406-4388","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","A Ambainis, E Bach, A Nayak, A Vishwanath, J Watrous","One-dimensional quantum walks","Proceedings of the Thirty-Third Annual ACM Symposium on Theory of Computing …, 2001","676*","2001"
"1665548406-4389","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","A Kondacs, J Watrous","On the power of quantum finite state automata","Proceedings of the 38th Annual IEEE Symposium on Foundations of Computer …, 1997","504","1997"
"1665548406-4390","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","R Cleve, P Hoyer, B Toner, J Watrous","Consequences and limits of nonlocal strategies","Computational Complexity, 2004. Proceedings. 19th IEEE Annual Conference on …, 2004","430","2004"
"1665548406-4391","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","M Piani, J Watrous","Necessary and sufficient quantum information characterization of Einstein-Podolsky-Rosen steering","Physical Review Letters 114 (6), 060404, 2015","373","2015"
"1665548406-4392","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Quantum computational complexity","Encyclopedia of Complexity and System Science, 2009","276","2009"
"1665548406-4393","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Zero-knowledge against quantum attacks","SIAM Journal on Computing 39 (1), 25-58, 2008","257","2008"
"1665548406-4394","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","C Marriott, J Watrous","Quantum Arthur–Merlin games","Computational Complexity 14 (2), 122-152, 2005","242","2005"
"1665548406-4395","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","R Cleve, J Watrous","Fast parallel circuits for the quantum Fourier transform","Foundations of Computer Science, 2000. Proceedings. 41st Annual Symposium on …, 2000","220","2000"
"1665548406-4396","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","A Ambainis, J Watrous","Two-way finite automata with quantum and classical states","Theoretical Computer Science 287 (1), 299-311, 2002","217","2002"
"1665548406-4397","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Semidefinite programs for completely bounded norms","Arxiv preprint arXiv:0901.4709, 2009","216","2009"
"1665548406-4398","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","A Kitaev, J Watrous","Parallelization, amplification, and exponential time simulation of quantum interactive proof systems","Proceedings of the thirty-second annual ACM symposium on Theory of computing …, 2000","211","2000"
"1665548406-4399","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","G Gutoski, J Watrous","Toward a general theory of quantum games","Proceedings of the 39th Annual ACM Symposium on Theory of Computing, 565-574, 2007","208","2007"
"1665548406-4400","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Quantum simulations of classical random walks and undirected graph connectivity","Computational Complexity, 1999. Proceedings. Fourteenth Annual IEEE …, 1999","206","1999"
"1665548406-4401","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","On one-dimensional quantum cellular automata","Foundations of Computer Science, 1995. Proceedings., 36th Annual Symposium …, 1995","194","1995"
"1665548406-4402","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Succinct quantum proofs for properties of finite groups","Foundations of Computer Science, 2000. Proceedings. 41st Annual Symposium on …, 2000","192","2000"
"1665548406-4403","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","R Jain, Z Ji, S Upadhyay, J Watrous","QIP = PSPACE","Journal of the ACM 58 (6), 30, 2011","180","2011"
"1665548406-4404","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","E Bach, S Coppersmith, MP Goldschen, R Joynt, J Watrous","One-dimensional quantum walks with absorbing boundaries","Journal of Computer and System Sciences 69 (4), 562-592, 2004","149","2004"
"1665548406-4405","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","PSPACE has constant-round quantum interactive proof systems","Theoretical Computer Science 292 (3), 575-588, 2003","140*","2003"
"1665548406-4406","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","M Piani, J Watrous","All entangled states are useful for channel discrimination","Physical review letters 102 (25), 250501, 2009","139","2009"
"1665548406-4407","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","S Aaronson, J Watrous","Closed timelike curves make quantum and classical computing equivalent","Proceedings of the Royal Society A: Mathematical, Physical and Engineering …, 2009","127","2009"
"1665548406-4408","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Limits on the power of quantum statistical zero-knowledge","Foundations of Computer Science, 2002. Proceedings. The 43rd Annual IEEE …, 2002","118*","2002"
"1665548406-4409","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Bipartite subspaces having no bases distinguishable by local operations and classical communication","Physical review letters 95 (8), 80505, 2005","113","2005"
"1665548406-4410","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Quantum algorithms for solvable groups","Proceedings of the thirty-third annual ACM symposium on Theory of computing …, 2001","102","2001"
"1665548406-4411","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Notes on super-operator norms induced by Schatten norms","Arxiv preprint quant-ph/0411077, 2004","100","2004"
"1665548406-4412","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Simpler semidefinite programs for completely bounded norms","arXiv preprint arXiv:1207.5726, 2012","95","2012"
"1665548406-4413","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","AW Harrow, A Hassidim, DW Leung, J Watrous","Adaptive versus nonadaptive strategies for quantum channel discrimination","Physical Review A 81 (3), 032339, 2010","95","2010"
"1665548406-4414","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","On the complexity of simulating space-bounded quantum computations","Computational Complexity 12 (1), 48-84, 2003","74*","2003"
"1665548406-4415","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Space-bounded quantum complexity","Journal of Computer and System Sciences 59 (2), 281-326, 1999","71","1999"
"1665548406-4416","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","R Jain, S Upadhyay, J Watrous","Two-message quantum interactive proofs are in PSPACE","Foundations of Computer Science, 2009. FOCS'09. 50th Annual IEEE Symposium …, 2009","68","2009"
"1665548406-4417","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","B Rosgen, J Watrous","On the hardness of distinguishing mixed-state quantum computations","Computational Complexity, 2005. Proceedings. Twentieth Annual IEEE …, 2005","61","2005"
"1665548406-4418","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","R Jozsa, B Kraus, A Miyake, J Watrous","Matchgate and space-bounded quantum computations are equivalent","Proceedings of the Royal Society A: Mathematical, Physical and Engineering …, 2010","59","2010"
"1665548406-4419","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","S Bandyopadhyay, A Cosentino, N Johnston, V Russo, J Watrous, N Yu","Limitations on separable measurements by convex optimization","IEEE Transactions on Information Theory 61 (6), 3593-3604, 2015","57","2015"
"1665548406-4420","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Many copies may be required for entanglement distillation","Physical review letters 93 (1), 010502, 2004","55","2004"
"1665548406-4421","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","H Gerhardt, J Watrous","Continuous-time quantum walks on the symmetric group","Approximation, Randomization, and Combinatorial Optimization.. Algorithms …, 2003","55","2003"
"1665548406-4422","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","D Leung, B Toner, J Watrous","Coherent state exchange in multi-prover quantum interactive proof systems","Chicago Journal of Theoretical Computer Science 11 (2013), 1, 2013","48*","2013"
"1665548406-4423","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","T Vidick, J Watrous","Quantum proofs","Foundations and Trends® in Theoretical Computer Science 11 (1-2), 1-215, 2016","47","2016"
"1665548406-4424","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","A Broadbent, Z Ji, F Song, J Watrous","Zero-knowledge proof systems for QMA","SIAM Journal on Computing 49 (2), 245-283, 2020","46*","2020"
"1665548406-4425","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","A Molina, T Vidick, J Watrous","Optimal counterfeiting attacks and generalizations for Wiesner’s quantum money","Conference on Quantum Computation, Communication, and Cryptography, 45-64, 2012","45","2012"
"1665548406-4426","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Distinguishing quantum operations having few Kraus operators","Arxiv preprint arXiv:0710.0902, 2007","42","2007"
"1665548406-4427","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","JN De Beaudrap, R Cleve, J Watrous","Sharp quantum versus classical query complexity separations","Algorithmica 34 (4), 449-461, 2002","42","2002"
"1665548406-4428","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","R Jain, J Watrous","Parallel approximation of non-interactive zero-sum quantum games","Computational Complexity, 2009. CCC'09. 24th Annual IEEE Conference on, 243-253, 2009","39","2009"
"1665548406-4429","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","R Cleve, J Watrous","Efficient quantum computing operations","US Patent 7,113,967, 2006","39","2006"
"1665548406-4430","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","G Gutoski, J Watrous","Quantum interactive proofs with competing provers","STACS 2005, 605-616, 2005","36","2005"
"1665548406-4431","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","A Molina, J Watrous","Revisiting the simulation of quantum Turing machines by quantum circuits","Proceedings of the Royal Society A 475 (2226), 20180767, 2019","25","2019"
"1665548406-4432","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","W Matthews, M Piani, J Watrous","Entanglement in channel discrimination with restricted measurements","Physical Review A 82 (3), 032302, 2010","23","2010"
"1665548406-4433","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Mixing doubly stochastic quantum channels with the completely depolarizing channel","arXiv preprint arXiv:0807.2668, 2008","21","2008"
"1665548406-4434","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Proceedings of the 36th Annual Symposium on Foundations of Computer Science","IEEE Computer Society, 1995","21","1995"
"1665548406-4435","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","N Johnston, R Mittal, V Russo, J Watrous","Extended non-local games and monogamy-of-entanglement games","Proceedings of the Royal Society A: Mathematical, Physical and Engineering …, 2016","18","2016"
"1665548406-4436","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","Relationships between quantum and classical space-bounded complexity classes","Computational Complexity, 1998. Proceedings. Thirteenth Annual IEEE …, 1998","18","1998"
"1665548406-4437","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","T Cooney, C Hirche, C Morgan, JP Olson, KP Seshadreesan, J Watrous, ...","Operational meaning of quantum measures of recovery","Physical Review A 94 (2), 022310, 2016","17","2016"
"1665548406-4438","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","An introduction to quantum information and quantum circuits","ACM SIGACT News 42 (2), 52-67, 2011","17","2011"
"1665548406-4439","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","JH Watrous","Space-bounded quantum computation","University of Wisconsin--Madison, 1998","16","1998"
"1665548406-4440","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","D Leung, J Watrous","On the complementary quantum capacity of the depolarizing channel","Quantum 1, 28, 2017","15","2017"
"1665548406-4441","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","S Beigi, PW Shor, J Watrous","Quantum interactive proofs with short messages","arXiv preprint arXiv:1004.0411, 2010","15","2010"
"1665548406-4442","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","CS 798: Theory of quantum information","University of Waterloo, http://www. cs. uwaterloo. ca/∼ watrous/quant–info …, 2008","14","2008"
"1665548406-4443","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","T Ito, H Kobayashi, J Watrous","Quantum interactive proofs with weak error bounds","Proceedings of the 3rd Innovations in Theoretical Computer Science …, 2012","13","2012"
"1665548406-4444","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","A Molina, J Watrous","Hedging bets with correlated quantum strategies","Arxiv preprint arXiv:1104.1140, 2011","13","2011"
"1665548406-4445","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","D Puzzuoli, J Watrous","Ancilla dimension in quantum channel discrimination","Annales Henri Poincaré 18 (4), 1153-1184, 2017","12","2017"
"1665548406-4446","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","B Coutts, M Girard, J Watrous","Certifying optimality for convex quantum channel optimization problems","Quantum 5, 448, 2021","9","2021"
"1665548406-4447","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","CDY Lee, J Watrous","Detecting mixed-unitary quantum channels is NP-hard","Quantum 4, 253, 2020","9","2020"
"1665548406-4448","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","S Menda, J Watrous","Oracle separations for quantum statistical zero-knowledge","arXiv preprint arXiv:1801.08967, 2018","8","2018"
"1665548406-4449","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","M Girard, D Leung, J Levick, CK Li, V Paulsen, YT Poon, J Watrous","On the mixed-unitary rank of quantum channels","Communications in Mathematical Physics, 1-33, 2022","4","2022"
"1665548406-4450","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Bostanci, J Watrous","Quantum game theory and the complexity of approximating quantum Nash equilibria","arXiv preprint arXiv:2102.00512, 2021","3","2021"
"1665548406-4451","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","S Ghosh, J Watrous","Complexity limitations on one-turn quantum refereed games","arXiv preprint arXiv:2002.01509, 2020","","2020"
"1665548406-4452","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","Y Su, J Watrous","Time-reversal of rank-one quantum strategy functions","Quantum 2, 98, 2018","","2018"
"1665548406-4453","https://scholar.google.com/citations?user=KpCmyMcAAAAJ&hl=en&oi=ao","J Watrous","A Polynomial-Time Algorithm for the Artin-Whaples Approximation Theorem","Number Theory: Fourth Conference of the Canadian Number Theory Association …, 1995","","1995"
"1665548418-4454","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","MA Storey, C Best, J Michaud, D Rayside, M Litoiu, M Musen","SHriMP views: an interactive environment for information visualization and navigation","CHI'02 Extended Abstracts on Human Factors in Computing Systems, 520-521, 2002","107","2002"
"1665548418-4455","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","R Olaechea, D Rayside, J Guo, K Czarnecki","Comparison of exact and approximate multi-objective optimization for software product lines","Proceedings of the 18th International Software Product Line Conference …, 2014","96","2014"
"1665548418-4456","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","T Lutellier, D Chollak, J Garcia, L Tan, D Rayside, N Medvidovic, ...","Comparing software architecture recovery techniques using accurate dependencies","2015 IEEE/ACM 37th IEEE International Conference on Software Engineering 2 …, 2015","92","2015"
"1665548418-4457","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, L Mendel","Object ownership profiling: a technique for finding and fixing memory leaks","Proceedings of the twenty-second IEEE/ACM international conference on …, 2007","87","2007"
"1665548418-4458","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","R Olaechea, S Stewart, K Czarnecki, D Rayside","Modelling and multi-objective optimization of quality attributes in variability-rich software","Proceedings of the fourth international workshop on nonfunctional system …, 2012","78","2012"
"1665548418-4459","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","A Murashkin, M Antkiewicz, D Rayside, K Czarnecki","Visualization and exploration of optimal variants in product line engineering","Proceedings of the 17th International Software Product Line Conference, 111-115, 2013","75","2013"
"1665548418-4460","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, E Mamas, E Hons","Compact Java binaries for embedded systems.","Cascon 99, 9, 1999","61","1999"
"1665548418-4461","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","A Milicevic, D Rayside, K Yessenov, D Jackson","Unifying execution of imperative and declarative code","Proceedings of the 33rd International Conference on Software Engineering …, 2011","56","2011"
"1665548418-4462","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","T Lutellier, D Chollak, J Garcia, L Tan, D Rayside, N Medvidović, ...","Measuring the impact of code dependencies on software architecture recovery techniques","IEEE Transactions on Software Engineering 44 (2), 159-181, 2017","51","2017"
"1665548418-4463","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, K Kontogiannis","Extracting Java library subsets for deployment on embedded systems","Science of Computer Programming 45 (2-3), 245-270, 2002","51","2002"
"1665548418-4464","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","J Guo, E Zulkoski, R Olaechea, D Rayside, K Czarnecki, S Apel, JM Atlee","Scaling exact multi-objective combinatorial optimization by parallelization","Proceedings of the 29th ACM/IEEE international conference on Automated …, 2014","50","2014"
"1665548418-4465","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","M Litoiu, M Storey, D Rayside","System and method for visualizing process flows","US Patent 8,302,019, 2012","50","2012"
"1665548418-4466","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","V Montaghami, D Rayside","Extending Alloy with partial instances","International Conference on Abstract State Machines, Alloy, B, VDM, and Z …, 2012","50","2012"
"1665548418-4467","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, GT Campbell","An aristotelian understanding of object-oriented programming","ACM SIGPLAN Notices 35 (10), 337-353, 2000","50","2000"
"1665548418-4468","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, S Reuss, E Hedges, K Kontogiannis","The effect of call graph construction algorithms for object-oriented programs on automatic clustering","Proceedings IWPC 2000. 8th International Workshop on Program Comprehension …, 2000","50","2000"
"1665548418-4469","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","K Bąk, D Zayan, K Czarnecki, M Antkiewicz, Z Diskin, A Wąsowski, ...","Example-driven modeling: model= abstractions+ examples","2013 35th International Conference on Software Engineering (ICSE), 1273-1276, 2013","48","2013"
"1665548418-4470","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","G Dennis, R Seater, D Rayside, D Jackson","Automating commutativity analysis at the design level","Proceedings of the 2004 ACM SIGSOFT international symposium on Software …, 2004","43","2004"
"1665548418-4471","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Jackson, H Estler, D Rayside","The guided improvement algorithm for exact, general-purpose, many-objective combinatorial optimization","","42","2009"
"1665548418-4472","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, L Mendel, D Jackson","A dynamic analysis for revealing object ownership and sharing","Proceedings of the 2006 international workshop on Dynamic systems analysis …, 2006","40","2006"
"1665548418-4473","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, A Milicevic, K Yessenov, G Dennis, D Jackson","Agile specifications","Proceedings of the 24th ACM SIGPLAN conference companion on Object oriented …, 2009","27","2009"
"1665548418-4474","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, M Litoiu, MA Storey, C Best, R Lintern","Visualizing flow diagrams in websphere studio using shrimp views","Information Systems Frontiers 5 (2), 161-174, 2003","24","2003"
"1665548418-4475","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, M Litoiu, MA Storey, C Best, R Lintern","Visualizing flow diagrams in websphere studio using shrimp views","Information Systems Frontiers 5 (2), 161-174, 2003","24","2003"
"1665548418-4476","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","M Al-Sharman, D Murdoch, D Cao, C Lv, Y Zweiri, D Rayside, W Melek","A sensorless state estimation for a safety-oriented cyber-physical system in urban driving: deep learning approach","IEEE/CAA Journal of Automatica Sinica 8 (1), 169-178, 2020","22","2020"
"1665548418-4477","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","M Safa, A Sabet, S MacGillivray, M Davidson, K Kaczmarczyk, GE Gibson, ...","Classification of construction projects","World Academy of Science, 2015","22","2015"
"1665548418-4478","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, K Kontogiannis","On the syllogistic structure of object-oriented programming","Proceedings of the 23rd International Conference on Software Engineering …, 2001","22","2001"
"1665548418-4479","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, Z Benjamin, R Singh, JP Near, A Milicevic, D Jackson","Equality and hashing for (almost) free: Generating implementations from abstraction functions","2009 IEEE 31st International Conference on Software Engineering, 342-352, 2009","21","2009"
"1665548418-4480","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, S Kerr, K Kontogiannis","Change and adaptive maintenance detection in Java software systems","Proceedings Fifth Working Conference on Reverse Engineering (Cat. No …, 1998","20","1998"
"1665548418-4481","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, F Chang, G Dennis, R Seater, D Jackson","Automatic visualization of relational logic models","Electronic Communications of the EASST 7, 2007","18","2007"
"1665548418-4482","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","M Safa, MH Yee, D Rayside, CT Haas","Optimizing contractor selection for construction packages in capital projects","Journal of Computing in Civil Engineering 30 (5), 04016002, 2016","17","2016"
"1665548418-4483","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, M Litoiu, MA Storey, C Best","Integrating SHriMP with the IBM websphere studio workbench","proceedings of the 2001 conference of the Centre for Advanced Studies on …, 2001","17","2001"
"1665548418-4484","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, GT Campbell","Aristotle and object-oriented programming: why modern students need traditional logic","Proceedings of the thirty-first SIGCSE technical symposium on Computer …, 2000","17","2000"
"1665548418-4485","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","V Montaghami, D Rayside","Bordeaux: A tool for thinking outside the box","International Conference on Fundamental Approaches to Software Engineering …, 2017","16","2017"
"1665548418-4486","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","A Ibrahim, D Rayside, R Kashef","Cooperative based software clustering on dependency graphs","2014 IEEE 27th Canadian Conference on Electrical and Computer Engineering …, 2014","15","2014"
"1665548418-4487","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","V Montaghami, D Rayside","Staged evaluation of partial instances in a relational model finder","International Conference on Abstract State Machines, Alloy, B, TLA, VDM, and …, 2014","14","2014"
"1665548418-4488","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, L Mendel, R Seater, D Jackson","An analysis and visualization for revealing object sharing","Proceedings of the 2005 OOPSLA workshop on Eclipse technology eXchange, 11-15, 2005","14","2005"
"1665548418-4489","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","Y Liao, RX Na, D Rayside","Accurate ECG R-peak detection for telemedicine","2014 IEEE Canada International Humanitarian Technology Conference-(IHTC), 1-5, 2014","13","2014"
"1665548418-4490","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","B Golzarpoor, CT Haas, D Rayside, S Kang, M Weston","Improving construction industry process interoperability with Industry Foundation Processes (IFP)","Advanced Engineering Informatics 38, 555-568, 2018","12","2018"
"1665548418-4491","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","B Golzarpoor, CT Haas, D Rayside","Improving process conformance with industry foundation processes (IFP)","Advanced Engineering Informatics 30 (2), 143-156, 2016","12","2016"
"1665548418-4492","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside","“Points-to analysis","MIT Open-CourseWare, 2005","12","2005"
"1665548418-4493","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, V Montaghami, F Leung, A Yuen, K Xu, D Jackson","Synthesizing iterators from abstraction functions","Proceedings of the 11th International Conference on Generative Programming …, 2012","10","2012"
"1665548418-4494","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, K Kontogiannis","A generic worklist algorithm for graph reachability problems in program analysis","Proceedings of the Sixth European Conference on Software Maintenance and …, 2002","9","2002"
"1665548418-4495","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","A Zaman, I Kazerani, M Patki, B Guntoori, D Rayside","Improved visualization of relational logic models","University of Waterloo, Tech. Rep, 2013","8","2013"
"1665548418-4496","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","K Driesen, P Lam, J Miecknikowski, F Qian, D Rayside","On the predictability of invoke targets in Java byte code","2nd Annual Workshop on Hardware Support for Objects and Microarchitectures …, 2000","8","2000"
"1665548418-4497","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Kurilova, D Rayside","On the simplicity of synthesizing linked data structure operations","ACM SIGPLAN Notices 49 (3), 155-158, 2013","7","2013"
"1665548418-4498","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","MA Storey, M Sanseverino, D German, D Damian, M Litoiu, D Rayside","Adopting GILD: An integrated learning and development environment for programming","3'""* International Workshop on Adoption-Centric Software Engineering, 49, 2003","7","2003"
"1665548418-4499","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","MA Daoud, MW Mehrez, D Rayside, WW Melek","Simultaneous Feasible Local Planning and Path-Following Control for Autonomous Driving","IEEE Transactions on Intelligent Transportation Systems, 2022","6","2022"
"1665548418-4500","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","E Zulkoski, C Kleynhans, MH Yee, D Rayside, K Czarnecki","Optimizing alloy for multi-objective software product line configuration","International Conference on Abstract State Machines, Alloy, B, TLA, VDM, and …, 2014","6","2014"
